,title,url
0,.hack//AI Buster,https://www.novelupdates.com/series/hackai-buster/
1,.hack//Bullet,https://www.novelupdates.com/series/hack-bullet/
2,.hack//C.S.,https://www.novelupdates.com/series/hack-c-s/
3,.hack//Cell,https://www.novelupdates.com/series/hackcell/
4,.hack//G.U.,https://www.novelupdates.com/series/hackg-u/
5,.Hack//New Testament,https://www.novelupdates.com/series/hacknew-testament/
6,’70s Villain Female Educated Youth,https://www.novelupdates.com/series/70s-villain-female-educated-youth/
7,’80s Sweet Marriage: Struggle for a Good Life,https://www.novelupdates.com/series/80s-sweet-marriage-struggle-for-a-good-life/
8,"‘Daughter’s Fool’ Was the Concept, Wasn’t It, Duke!",https://www.novelupdates.com/series/daughters-fool-was-the-concept-wasnt-it-duke/
9,"“Don’t Take It Wrong!” That’s What My Childhood Friend Who Gave Me Love Chocolate Said, But What Does That Mean Don’t Take It Wrong!?",https://www.novelupdates.com/series/dont-take-it-wrong-thats-what-my-childhood-friend-who-gave-me-love-chocolate-said-but-what-does-that-mean-dont-take-it-wrong/
10,“Let’s Have S*x” My Proposal to My Classmate Just Before She Jumps Off,https://www.novelupdates.com/series/lets-have-s-my-proposal-to-my-classmate-just-before-she-jumps-off/
11,“Bokuchu” Us vs the Police: 700-Day War,https://www.novelupdates.com/series/bokuchu-us-vs-the-police-700-day-war/
12,"(Um, Sorry) I’ve Been Reincarnated!",https://www.novelupdates.com/series/um-sorry-ive-been-reincarnated/
13,"[Reberu] ga Arunara Agerudesho? Mobukyara ni Tensei Shita Ore wa Gēmu Chishiki o Ikashi, Hitasura Reberu o Age Tsudzukeru",https://www.novelupdates.com/series/reberu-ga-arunara-agerudesho-mobukyara-ni-tensei-shita-ore-wa-gemu-chishiki-o-ikashi-hitasura-reberu-o-age-tsudzukeru/
14,"[Still I Am] the Brave Hero, Who Was Expelled From His Country and Party Because of His Long-Standing Back Pain, Was Struck Down by a Beautiful Elf Osteopath Who Healed Him. Thank You, Now I Can Fight Again–! [Saving the World]",https://www.novelupdates.com/series/still-i-am-the-brave-hero-who-was-expelled-from-his-country-and-party-because-of-his-long-standing-back-pain-was-struck-down-by-a-beautiful-elf-osteopath-who-healed-him-thank-you-now-i-can-fight/
15,[Urgent Request] How to Take Care of an Abandoned Dragon?,https://www.novelupdates.com/series/urgent-request-how-to-take-care-of-an-abandoned-dragon/
16,『Shirayukihime to 7 Nin no Koibito』to iu 18 kin Otomege Heroin ni Tenseishiteshimatta Ore ga Zenryoku de Oujitachi kara Nigeru Hanashi,https://www.novelupdates.com/series/%e3%80%8eshirayukihime-to-7-nin-no-koibito%e3%80%8fto-iu-18-kin-otomege-heroin-ni-tenseishiteshimatta-ore-ga-zenryoku-de-oujitachi-kara-nigeru-hanashi/
17,＜Infinite Dendrogram＞,https://www.novelupdates.com/series/%ef%bc%9cinfinite-dendrogram%ef%bc%9e/
18,"￥1 Trillion Wife, Buy One Get One Free",https://www.novelupdates.com/series/1-trillion-wife-buy-one-get-one-free/
19,10 nen goshi no HikiNiito o Yamete Gaishutsushitara Jitaku goto Isekai ni Ten’ishiteta,https://www.novelupdates.com/series/10-nen-goshi-no-hikiniito-o-yamete-gaishutsushitara-jitaku-goto-isekai-ni-tenishiteta/
20,100 Ghost Collection,https://www.novelupdates.com/series/100-ghost-collection/
21,100 Reasons to Kill My Husband,https://www.novelupdates.com/series/100-reasons-to-kill-my-husband/
22,100 Things I Don’t Know About My Senior,https://www.novelupdates.com/series/100-things-i-dont-know-about-my-senior/
23,100 Ways To Die,https://www.novelupdates.com/series/100-ways-to-die/
24,100 Ways to Get the Male God,https://www.novelupdates.com/series/100-ways-to-get-the-male-god/
25,"100,000/Hour Professional Stand-in",https://www.novelupdates.com/series/100000-hour-professional-stand-in/
26,100% Compatible,https://www.novelupdates.com/series/100-compatible/
27,100% Love from the Boss,https://www.novelupdates.com/series/100-love-from-the-boss/
28,1000 nin no Homunkurusu no Shoujo tachi ni Kakomarete Isekai Kenkoku,https://www.novelupdates.com/series/1000-nin-no-homunkurusu-no-shoujo-tachi-ni-kakomarete-isekai-kenkoku/
29,1000 Trillion Conglomerate,https://www.novelupdates.com/series/1000-trillion-conglomerate/
30,100k Volts Electrocutes You to Death,https://www.novelupdates.com/series/100k-volts-electrocutes-you-to-death/
31,101-banme no Hyaku Monogatari,https://www.novelupdates.com/series/101-banme-no-hyaku-monogatari/
32,1069,https://www.novelupdates.com/series/1069/
33,108 Maidens of Destiny,https://www.novelupdates.com/series/108-maidens-of-destiny/
34,10PM Door-to-Door Sales,https://www.novelupdates.com/series/10pm-door-to-door-sales/
35,11 Ways to Forget Your Ex-Boyfriend,https://www.novelupdates.com/series/11-ways-to-forget-your-ex-boyfriend/
36,11/23,https://www.novelupdates.com/series/11-23/
37,12 Hours After,https://www.novelupdates.com/series/12-hours-after/
38,12 O’Clock Marionette,https://www.novelupdates.com/series/12-oclock-marionette/
39,1234th Year of the Galactic Era – The Museum of Rare Weapons,https://www.novelupdates.com/series/1234th-year-of-the-galactic-era-the-museum-of-rare-weapons/
40,143 Kaoru’s Cake House,https://www.novelupdates.com/series/143-kaorus-cake-house/
41,15 cm Between You and Me,https://www.novelupdates.com/series/15-cm-between-you-and-me/
42,15P 7H 6SM,https://www.novelupdates.com/series/15p-7h-6sm/
43,"18 Kin Otome Gēmu de, Teisō o Mamorinukimasu!",https://www.novelupdates.com/series/18-kin-otome-gemu-de-teiso-o-mamorinukimasu/
44,1970s Gangster Couple,https://www.novelupdates.com/series/1970s-gangster-couple/
45,1999th bride,https://www.novelupdates.com/series/1999th-bride/
46,"1LDK, Soshite 2JK",https://www.novelupdates.com/series/1ldk-soshite-2jk/
47,1st Kiss Was Intentional,https://www.novelupdates.com/series/1st-kiss-was-intentional/
48,2.43: Seiin High School Boys’ Volleyball Club,https://www.novelupdates.com/series/2-43-seiin-high-school-boys-volleyball-club/
49,"200 Years of Love ~the Noble Lady, Betrayed by the Prince and Banished to the Past~",https://www.novelupdates.com/series/200-years-of-love-the-noble-lady-betrayed-by-the-prince-and-banished-to-the-past/
50,2000 Years of Magic History in My Head,https://www.novelupdates.com/series/2000-years-of-magic-history-in-my-head/
51,2013,https://www.novelupdates.com/series/2013/
52,20th Century Philosopher Imparts Wisdom on Modern Japan,https://www.novelupdates.com/series/20th-century-philosopher-imparts-wisdom-on-modern-japan/
53,21st Century Archmage,https://www.novelupdates.com/series/21st-century-archmage/
54,23:11,https://www.novelupdates.com/series/2311/
55,24 Hearts,https://www.novelupdates.com/series/24-hearts/
56,29-Years-Old Bachelor Was… Brought to a Different World to Live Freely,https://www.novelupdates.com/series/29-years-old-bachelor-was-brought-to-a-different-world-to-live-freely/
57,2Moons,https://www.novelupdates.com/series/2moons/
58,3 Minutes Boy Meets Girl,https://www.novelupdates.com/series/3-minutes-boy-meets-girl/
59,3 Short Stories,https://www.novelupdates.com/series/3-short-stories/
60,31st Consort,https://www.novelupdates.com/series/31st-consort/
61,365 Difficult Ways To Live,https://www.novelupdates.com/series/365-difficult-ways-to-live/
62,37°C,https://www.novelupdates.com/series/37c/
63,39 – The Legend of Sun Knight,https://www.novelupdates.com/series/39-the-legend-of-sun-knight/
64,3cm Hunter,https://www.novelupdates.com/series/3cm-hunter/
65,4 JK’s Life in Another World!,https://www.novelupdates.com/series/4-jks-life-in-another-world/
66,"4-gatsu, Sore wa…",https://www.novelupdates.com/series/4-gatsu-sore-wa/
67,4:48,https://www.novelupdates.com/series/448/
68,4.6 Billion Year Symphony of Evolution,https://www.novelupdates.com/series/4-6-billion-year-symphony-of-evolution/
69,400 Years Old Virgin Demon King,https://www.novelupdates.com/series/400-years-old-virgin-demon-king/
70,48 Hours a Day,https://www.novelupdates.com/series/48-hours-a-day/
71,49 Days Till Heaven,https://www.novelupdates.com/series/49-days-till-heaven/
72,5 Big Shots Kneeled and Called Me Mom,https://www.novelupdates.com/series/5-big-shots-kneeled-and-called-me-mom/
73,5 Kings,https://www.novelupdates.com/series/5-kings/
74,6 Cats Rush to Raise Me,https://www.novelupdates.com/series/6-cats-rush-to-raise-me/
75,6-year-old Wise Man Wants to Walk in the Shade,https://www.novelupdates.com/series/6-year-old-wise-man-wants-to-walk-in-the-shade/
76,7 Days,https://www.novelupdates.com/series/7-days/
77,7 Killers,https://www.novelupdates.com/series/7-killers/
78,7th Demon Prince Jilbagias’ Chronicle of Demon Kingdom Toppling,https://www.novelupdates.com/series/7th-demon-prince-jilbagias-chronicle-of-demon-kingdom-toppling/
79,"80 Years Of Signing-In At The Cold Palace, I Am Unrivalled",https://www.novelupdates.com/series/80-years-of-signing-in-at-the-cold-palace-i-am-unrivalled/
80,86,https://www.novelupdates.com/series/86/
81,9 Heavenly Thunder Manual,https://www.novelupdates.com/series/9-heavenly-thunder-manual/
82,90 Days of Spring,https://www.novelupdates.com/series/90-days-of-spring/
83,99 Way to Keep Poor Life With Onii-chan,https://www.novelupdates.com/series/99-way-to-keep-poor-life-with-onii-chan/
84,99th vampire princess ~The last vampire~,https://www.novelupdates.com/series/99th-vampire-princess-the-last-vampire/
85,9S,https://www.novelupdates.com/series/9s/
86,A Banished Failure Survives in the Borderland and Becomes an S-Rank Exorcist,https://www.novelupdates.com/series/a-banished-failure-survives-in-the-borderland-and-becomes-an-s-rank-exorcist/
87,A Barbaric Proposal,https://www.novelupdates.com/series/a-barbaric-proposal/
88,A Beautiful Knight Wants You from Morning till Night! The Dirty Married Life of the Queen,https://www.novelupdates.com/series/a-beautiful-knight-wants-you-from-morning-till-night-the-dirty-married-life-of-the-queen/
89,"A Berserker Mob, I’m Going to Participate in the Main Story",https://www.novelupdates.com/series/a-berserker-mob-im-going-to-participate-in-the-main-story/
90,A Beta Has Dreams Too,https://www.novelupdates.com/series/a-beta-has-dreams-too/
91,A Billion Stars Can’t Amount to You,https://www.novelupdates.com/series/a-billion-stars-cant-amount-to-you/
92,A Black Cat’s Tail,https://www.novelupdates.com/series/a-black-cats-tail/
93,A Book Dedicated to Our Youth,https://www.novelupdates.com/series/a-book-dedicated-to-our-youth/
94,A Bookworm’s New Routine,https://www.novelupdates.com/series/a-bookworms-new-routine/
95,"A Boy Raised by Gods, Will Be the Strongest",https://www.novelupdates.com/series/a-boy-raised-by-gods-will-be-the-strongest/
96,"A Boy Who Was Disowned Because He Was Second in Everything, Is Unknowingly Unmatched",https://www.novelupdates.com/series/a-boy-who-was-disowned-because-he-was-second-in-everything-is-unknowingly-unmatched/
97,A Bright Sunny Morning,https://www.novelupdates.com/series/a-bright-sunny-morning/
98,A Bug’s Desire to Survive,https://www.novelupdates.com/series/a-bugs-desire-to-survive/
99,A Bunny Delinquent Should Hide His Tail,https://www.novelupdates.com/series/a-bunny-delinquent-should-hide-his-tail/
100,A Capable Maid,https://www.novelupdates.com/series/a-capable-maid/
101,A Cat with a Red Envelope Group,https://www.novelupdates.com/series/a-cat-with-a-red-envelope-group/
102,A Certain Elf’s Note,https://www.novelupdates.com/series/a-certain-elfs-note/
103,A Certain Middle-aged Man’s VRMMO Activity Log,https://www.novelupdates.com/series/a-certain-middle-aged-mans-vrmmo-activity-log/
104,A Certain Someone,https://www.novelupdates.com/series/a-certain-someone/
105,A Certain Villainess’ School Life,https://www.novelupdates.com/series/a-certain-villainess-school-life/
106,"A Childhood Friend, Reunited After 10 Years Acts Deredere With Me",https://www.novelupdates.com/series/a-childhood-friend-reunited-after-10-years-acts-deredere-with-me/
107,A Clash of Gods,https://www.novelupdates.com/series/a-clash-of-gods/
108,A Classmate Who Was Used To Be Called “Shirobuta” (White Pig) Became Known as “Snow White” and Is Now Featured in Gravure Magazines After a Few Years of Not Seeing Her,https://www.novelupdates.com/series/a-classmate-who-was-used-to-be-called-shirobuta-white-pig-became-known-as-snow-white-and-is-now-featured-in-gravure-magazines-after-a-few-years-of-not-seeing-her/
109,A Collection of BL Shorts,https://www.novelupdates.com/series/a-collection-of-bl-shorts/
110,A Collection of Short Danmei Stories,https://www.novelupdates.com/series/a-collection-of-short-danmei-stories/
111,A Collection of Sweet Danmei Shorts,https://www.novelupdates.com/series/a-collection-of-sweet-danmei-shorts/
112,A Comfortable Different World Life,https://www.novelupdates.com/series/a-comfortable-different-world-life/
113,A Complete Explanation of the Negative Textbooks for the Imperial Examination,https://www.novelupdates.com/series/a-complete-explanation-of-the-negative-textbooks-for-the-imperial-examination/
114,A Con Artist But That’s Okay,https://www.novelupdates.com/series/a-con-artist-but-thats-okay/
115,A Consensual Marriage,https://www.novelupdates.com/series/a-consensual-marriage/
116,A Contemptuous Beauty,https://www.novelupdates.com/series/a-contemptuous-beauty/
117,A Contractual Marriage with the Best Leading Actor,https://www.novelupdates.com/series/a-contractual-marriage-with-the-best-leading-actor/
118,"A Court Blacksmith, whom was Condemned for being an ‘Iron-Smelling Woman’, was Picked up by a Friendly Guild and Attained Happiness",https://www.novelupdates.com/series/a-court-blacksmith-whom-was-condemned-for-being-an-iron-smelling-woman-was-picked-up-by-a-friendly-guild-and-attained-happiness/
119,"A Court Magician, Who Was Focused On Supportive Magic Because His Allies Were Too Weak, Aims To Become The Strongest After Being Banished",https://www.novelupdates.com/series/a-court-magician-who-was-focused-on-supportive-magic-because-his-allies-were-too-weak-aims-to-become-the-strongest-after-being-banished/
120,A Crowd of Evil Spirit Lines up to Confess to Me,https://www.novelupdates.com/series/a-crowd-of-evil-spirit-lines-up-to-confess-to-me/
121,A Cruel Beast’s Leash,https://www.novelupdates.com/series/a-cruel-beasts-leash/
122,A Cruel Romance,https://www.novelupdates.com/series/a-cruel-romance/
123,A Cure for the Dark Heart,https://www.novelupdates.com/series/a-cure-for-the-dark-heart/
124,A Cute Master’s Cultivation,https://www.novelupdates.com/series/a-cute-masters-cultivation/
125,A Cute Woman and Her Clingy Husband,https://www.novelupdates.com/series/a-cute-woman-and-her-clingy-husband/
126,A Cynical Principle,https://www.novelupdates.com/series/a-cynical-principle/
127,A Daughter’s Hatred,https://www.novelupdates.com/series/a-daughters-hatred/
128,A Day in the Life of the Former Prisoner of War and His Interrogator,https://www.novelupdates.com/series/a-day-in-the-life-of-the-former-prisoner-of-war-and-his-interrogator/
129,A Deadly Secret,https://www.novelupdates.com/series/a-deadly-secret/
130,A Deal with the Devil,https://www.novelupdates.com/series/a-deal-with-the-devil/
131,A Deal With The Frigid Wizard,https://www.novelupdates.com/series/a-deal-with-the-frigid-wizard/
132,"A Demon Lord’s Tale: Dungeons, Monster Girls, and Heartwarming Bliss",https://www.novelupdates.com/series/a-demon-lords-tale-dungeons-monster-girls-and-heartwarming-bliss/
133,A Demon’s Path,https://www.novelupdates.com/series/a-demons-path/
134,A Demotion Isn’t That Bad,https://www.novelupdates.com/series/a-demotion-isnt-that-bad/
135,A Different World Romance That Begins With a Reincarnation! ～The Excluded Summoned Wanders the World in Search of Their Reincarnated Childhood Friend～,https://www.novelupdates.com/series/a-different-world-romance-that-begins-with-a-reincarnation-%ef%bd%9ethe-excluded-summoned-wanders-the-world-in-search-of-their-reincarnated-childhood-friend%ef%bd%9e/
136,A Different World Scenery View From the Tower,https://www.novelupdates.com/series/a-different-world-scenery-view-from-the-tower/
137,A Divine Dragon Girl (Bahamut) Falls In Love At First Sight With A Failure Dragon Knight,https://www.novelupdates.com/series/a-divine-dragon-girl-bahamut-falls-in-love-at-first-sight-with-a-failure-dragon-knight/
138,A Divorced Evil Lady Bakes Cakes,https://www.novelupdates.com/series/a-divorced-evil-lady-bakes-cakes/
139,A Doted Toy Boy in Another World,https://www.novelupdates.com/series/a-doted-toy-boy-in-another-world/
140,A Dragon in Slime’s Clothing ~ I Want to Live Peacefully by Pretending to Be the Weakest,https://www.novelupdates.com/series/a-dragon-in-slimes-clothing-i-want-to-live-peacefully-by-pretending-to-be-the-weakest/
141,A Dragon That My Cat Brought Home,https://www.novelupdates.com/series/a-dragon-that-my-cat-brought-home/
142,A Dream Comes True,https://www.novelupdates.com/series/a-dream-comes-true/
143,A Dungeon Beneath My House Let Me Gain 800% EXP,https://www.novelupdates.com/series/a-dungeon-beneath-my-house-let-me-gain-800-exp/
144,A Failed Idol’s Rise to Bottom,https://www.novelupdates.com/series/a-failed-idols-rise-to-bottom/
145,A Fairy Tales for the Villains,https://www.novelupdates.com/series/a-fairy-tales-for-the-villains/
146,A Fairytale for Wizards,https://www.novelupdates.com/series/a-fairytale-for-wizards/
147,A Fake Concubine Was Caught by the Tyrant,https://www.novelupdates.com/series/a-fake-concubine-was-caught-by-the-tyrant/
